"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"517011","51-7011.00","Cabinetmakers and Bench Carpenters",0.341911764705882,1.03728726332254,0.652411191627631,0.560868930831265,0.254568531937939,20,14,"Production, Transportation & Material Moving",0.0588235294117647,0.117647058823529,0.176470588235294,44,66,20,3.02696052398655,3.7322738,0.92,-0.059757013,1.0309113
"514081","51-4081.00","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.341346153846154,0.538689319909825,0.682370176078884,0.893908637617345,0.415566840543245,21,18,"Production, Transportation & Material Moving",0.0769230769230769,0.102564102564103,0.128205128205128,98,79,75,3.11156465415609,3.453315,0.91,0.8589524,1.9821383
"514032","51-4032.00","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.340909090909091,0.570020005205449,0.549130919501807,1.00627596306626,0.312444247629692,17,16,"Production, Transportation & Material Moving",0,0.0303030303030303,0.0606060606060606,30,64,75,3.08172970734401,3.2803609,0.94,1.1168355,1.9866467
"513022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers",0.338235294117647,0.891490005052348,0.536025698063321,0.671424327198417,0.24138549356431,12,5,"Production, Transportation & Material Moving",0,0,0,6,41,33,3.34906141789685,2.6044064,0.94,1.5036607,2.2796788
"394031","39-4031.00","Morticians, Undertakers, and Funeral Arrangers",0.335227272727273,0.682221976203781,0.643827889198777,0.507464252835141,0.414201675776203,22,22,"Personal Care & Service",0.0930232558139535,0.162790697674419,0.232558139534884,NA,NA,NA,NA,NA,NA,NA,NA
"515113","51-5113.00","Print Binding and Finishing Workers",0.333881578947368,0.55309913034122,0.561040622322711,0.912449922075165,0.436040622322711,25,13,"Production, Transportation & Material Moving",0.0512820512820513,0.0897435897435897,0.128205128205128,97,81,89,3.22175917491549,3.4151225,0.95,0.93954045,1.9911544
"472111","47-2111.00","Electricians",0.333841463414634,0.677479278767062,0.813321806773477,0.535972530101291,0.341896754950399,21,20,"Construction, Extraction & Maintenance",0.0975609756097561,0.146341463414634,0.195121951219512,40,67,60,2.92916294483928,4.4770479,0.15,0.0691845,0.48992917
"517031","51-7031.00","Model Makers, Wood",0.333333333333333,0.9597856874953,0.4597856874953,0.563226177080983,0.614946421873825,14,13,"Production, Transportation & Material Moving",0.0769230769230769,0.153846153846154,0.230769230769231,90,51,93,3.20544448307835,3.6205301,0.96,-0.27734563,0.29607704
"514192","51-4192.00","Layout Workers, Metal and Plastic",0.331521739130435,0.754502321330142,0.652560151151443,0.754502321330142,0.332840438516953,14,9,"Production, Transportation & Material Moving",0,0.130434782608696,0.260869565217391,98,79,75,3.02196308824402,3.4666996,0.84,-0.39016983,0.8370592
"493053","49-3053.00","Outdoor Power Equipment and Other Small Engine Mechanics",0.330357142857143,0.793110956470948,0.778952148992136,0.421809291849279,0.328825242185234,14,14,"Construction, Extraction & Maintenance",0.142857142857143,0.178571428571429,0.214285714285714,62,66,54,2.99120913833863,3.4547565,0.93,-1.3088793,0.36820838
